"Step","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5__MIN","WC_lmax3_nv4_ns14 - valinf_rmsds_lt5__MAX","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5__MIN","WC_lmax2_nv4_ns16 - valinf_rmsds_lt5__MAX","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MIN","WC_lmax1_nv5_ns18 - valinf_rmsds_lt5__MAX","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MIN","WC_lmax0_nv6_ns24 - valinf_rmsds_lt5__MAX"
"5","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0"
"10","4.878048780487805","4.878048780487805","4.878048780487805","7.317073170731708","7.317073170731708","7.317073170731708","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"15","14.634146341463415","14.634146341463415","14.634146341463415","24.390243902439025","24.390243902439025","24.390243902439025","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"20","26.829268292682926","26.829268292682926","26.829268292682926","26.829268292682926","26.829268292682926","26.829268292682926","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"25","24.390243902439025","24.390243902439025","24.390243902439025","36.58536585365854","36.58536585365854","36.58536585365854","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"30","14.634146341463415","14.634146341463415","14.634146341463415","39.02439024390244","39.02439024390244","39.02439024390244","36.58536585365854","36.58536585365854","36.58536585365854","0","0","0"
"35","41.46341463414634","41.46341463414634","41.46341463414634","39.02439024390244","39.02439024390244","39.02439024390244","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"40","36.58536585365854","36.58536585365854","36.58536585365854","63.41463414634146","63.41463414634146","63.41463414634146","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
"45","48.78048780487805","48.78048780487805","48.78048780487805","60.97560975609756","60.97560975609756","60.97560975609756","41.46341463414634","41.46341463414634","41.46341463414634","0","0","0"
"50","39.02439024390244","39.02439024390244","39.02439024390244","56.09756097560975","56.09756097560975","56.09756097560975","51.21951219512195","51.21951219512195","51.21951219512195","0","0","0"
"55","56.09756097560975","56.09756097560975","56.09756097560975","56.09756097560975","56.09756097560975","56.09756097560975","48.78048780487805","48.78048780487805","48.78048780487805","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"60","53.65853658536585","53.65853658536585","53.65853658536585","82.92682926829268","82.92682926829268","82.92682926829268","51.21951219512195","51.21951219512195","51.21951219512195","0","0","0"
"65","70.73170731707317","70.73170731707317","70.73170731707317","68.29268292682927","68.29268292682927","68.29268292682927","41.46341463414634","41.46341463414634","41.46341463414634","0","0","0"
"70","68.29268292682927","68.29268292682927","68.29268292682927","68.29268292682927","68.29268292682927","68.29268292682927","53.65853658536585","53.65853658536585","53.65853658536585","0","0","0"
"75","75.60975609756098","75.60975609756098","75.60975609756098","70.73170731707317","70.73170731707317","70.73170731707317","65.85365853658537","65.85365853658537","65.85365853658537","0","0","0"
"80","82.92682926829268","82.92682926829268","82.92682926829268","75.60975609756098","75.60975609756098","75.60975609756098","78.04878048780488","78.04878048780488","78.04878048780488","0","0","0"
"85","87.8048780487805","87.8048780487805","87.8048780487805","65.85365853658537","65.85365853658537","65.85365853658537","80.48780487804878","80.48780487804878","80.48780487804878","0","0","0"
"90","80.48780487804878","80.48780487804878","80.48780487804878","75.60975609756098","75.60975609756098","75.60975609756098","60.97560975609756","60.97560975609756","60.97560975609756","0","0","0"
"95","78.04878048780488","78.04878048780488","78.04878048780488","73.17073170731707","73.17073170731707","73.17073170731707","80.48780487804878","80.48780487804878","80.48780487804878","0","0","0"
"100","73.17073170731707","73.17073170731707","73.17073170731707","75.60975609756098","75.60975609756098","75.60975609756098","78.04878048780488","78.04878048780488","78.04878048780488","0","0","0"
"105","78.04878048780488","78.04878048780488","78.04878048780488","80.48780487804878","80.48780487804878","80.48780487804878","70.73170731707317","70.73170731707317","70.73170731707317","0","0","0"
"110","78.04878048780488","78.04878048780488","78.04878048780488","73.17073170731707","73.17073170731707","73.17073170731707","78.04878048780488","78.04878048780488","78.04878048780488","0","0","0"
"115","68.29268292682927","68.29268292682927","68.29268292682927","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","0","0","0"
"120","95.1219512195122","95.1219512195122","95.1219512195122","68.29268292682927","68.29268292682927","68.29268292682927","82.92682926829268","82.92682926829268","82.92682926829268","0","0","0"
"125","95.1219512195122","95.1219512195122","95.1219512195122","75.60975609756098","75.60975609756098","75.60975609756098","73.17073170731707","73.17073170731707","73.17073170731707","0","0","0"
"130","70.73170731707317","70.73170731707317","70.73170731707317","85.36585365853658","85.36585365853658","85.36585365853658","75.60975609756098","75.60975609756098","75.60975609756098","0","0","0"
"135","75.60975609756098","75.60975609756098","75.60975609756098","85.36585365853658","85.36585365853658","85.36585365853658","78.04878048780488","78.04878048780488","78.04878048780488","0","0","0"
"140","85.36585365853658","85.36585365853658","85.36585365853658","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","0","0","0"
"145","75.60975609756098","75.60975609756098","75.60975609756098","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","0","0","0"
"150","78.04878048780488","78.04878048780488","78.04878048780488","85.36585365853658","85.36585365853658","85.36585365853658","80.48780487804878","80.48780487804878","80.48780487804878","0","0","0"
"155","87.8048780487805","87.8048780487805","87.8048780487805","82.92682926829268","82.92682926829268","82.92682926829268","65.85365853658537","65.85365853658537","65.85365853658537","0","0","0"
"160","95.1219512195122","95.1219512195122","95.1219512195122","82.92682926829268","82.92682926829268","82.92682926829268","75.60975609756098","75.60975609756098","75.60975609756098","0","0","0"
"165","90.2439024390244","90.2439024390244","90.2439024390244","85.36585365853658","85.36585365853658","85.36585365853658","80.48780487804878","80.48780487804878","80.48780487804878","0","0","0"
"170","87.8048780487805","87.8048780487805","87.8048780487805","82.92682926829268","82.92682926829268","82.92682926829268","85.36585365853658","85.36585365853658","85.36585365853658","0","0","0"
"175","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","90.2439024390244","90.2439024390244","90.2439024390244","0","0","0"
"180","85.36585365853658","85.36585365853658","85.36585365853658","87.8048780487805","87.8048780487805","87.8048780487805","90.2439024390244","90.2439024390244","90.2439024390244","0","0","0"
"185","80.48780487804878","80.48780487804878","80.48780487804878","92.6829268292683","92.6829268292683","92.6829268292683","95.1219512195122","95.1219512195122","95.1219512195122","0","0","0"
"190","85.36585365853658","85.36585365853658","85.36585365853658","87.8048780487805","87.8048780487805","87.8048780487805","90.2439024390244","90.2439024390244","90.2439024390244","4.878048780487805","4.878048780487805","4.878048780487805"
"195","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","4.878048780487805","4.878048780487805","4.878048780487805"
"200","95.1219512195122","95.1219512195122","95.1219512195122","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","82.92682926829268","7.317073170731708","7.317073170731708","7.317073170731708"
"205","97.5609756097561","97.5609756097561","97.5609756097561","82.92682926829268","82.92682926829268","82.92682926829268","90.2439024390244","90.2439024390244","90.2439024390244","0","0","0"
"210","85.36585365853658","85.36585365853658","85.36585365853658","92.6829268292683","92.6829268292683","92.6829268292683","80.48780487804878","80.48780487804878","80.48780487804878","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"215","87.8048780487805","87.8048780487805","87.8048780487805","92.6829268292683","92.6829268292683","92.6829268292683","85.36585365853658","85.36585365853658","85.36585365853658","0","0","0"
"220","90.2439024390244","90.2439024390244","90.2439024390244","82.92682926829268","82.92682926829268","82.92682926829268","90.2439024390244","90.2439024390244","90.2439024390244","4.878048780487805","4.878048780487805","4.878048780487805"
"225","78.04878048780488","78.04878048780488","78.04878048780488","87.8048780487805","87.8048780487805","87.8048780487805","85.36585365853658","85.36585365853658","85.36585365853658","7.317073170731708","7.317073170731708","7.317073170731708"
"230","87.8048780487805","87.8048780487805","87.8048780487805","90.2439024390244","90.2439024390244","90.2439024390244","80.48780487804878","80.48780487804878","80.48780487804878","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"235","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","95.1219512195122","95.1219512195122","95.1219512195122","4.878048780487805","4.878048780487805","4.878048780487805"
"240","87.8048780487805","87.8048780487805","87.8048780487805","85.36585365853658","85.36585365853658","85.36585365853658","97.5609756097561","97.5609756097561","97.5609756097561","12.195121951219512","12.195121951219512","12.195121951219512"
"245","95.1219512195122","95.1219512195122","95.1219512195122","87.8048780487805","87.8048780487805","87.8048780487805","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"250","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244","87.8048780487805","87.8048780487805","87.8048780487805","12.195121951219512","12.195121951219512","12.195121951219512"
"255","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","7.317073170731708","7.317073170731708","7.317073170731708"
"260","95.1219512195122","95.1219512195122","95.1219512195122","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"265","90.2439024390244","90.2439024390244","90.2439024390244","87.8048780487805","87.8048780487805","87.8048780487805","95.1219512195122","95.1219512195122","95.1219512195122","7.317073170731708","7.317073170731708","7.317073170731708"
"270","85.36585365853658","85.36585365853658","85.36585365853658","87.8048780487805","87.8048780487805","87.8048780487805","85.36585365853658","85.36585365853658","85.36585365853658","7.317073170731708","7.317073170731708","7.317073170731708"
"275","78.04878048780488","78.04878048780488","78.04878048780488","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","4.878048780487805","4.878048780487805","4.878048780487805"
"280","85.36585365853658","85.36585365853658","85.36585365853658","95.1219512195122","95.1219512195122","95.1219512195122","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"285","95.1219512195122","95.1219512195122","95.1219512195122","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244","7.317073170731708","7.317073170731708","7.317073170731708"
"290","95.1219512195122","95.1219512195122","95.1219512195122","85.36585365853658","85.36585365853658","85.36585365853658","92.6829268292683","92.6829268292683","92.6829268292683","17.073170731707318","17.073170731707318","17.073170731707318"
"295","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"300","85.36585365853658","85.36585365853658","85.36585365853658","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","4.878048780487805","4.878048780487805","4.878048780487805"
"305","90.2439024390244","90.2439024390244","90.2439024390244","85.36585365853658","85.36585365853658","85.36585365853658","95.1219512195122","95.1219512195122","95.1219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"310","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","19.51219512195122","19.51219512195122","19.51219512195122"
"315","82.92682926829268","82.92682926829268","82.92682926829268","87.8048780487805","87.8048780487805","87.8048780487805","82.92682926829268","82.92682926829268","82.92682926829268","17.073170731707318","17.073170731707318","17.073170731707318"
"320","78.04878048780488","78.04878048780488","78.04878048780488","95.1219512195122","95.1219512195122","95.1219512195122","85.36585365853658","85.36585365853658","85.36585365853658","7.317073170731708","7.317073170731708","7.317073170731708"
"325","","","","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","14.634146341463415","14.634146341463415","14.634146341463415"
"330","","","","80.48780487804878","80.48780487804878","80.48780487804878","87.8048780487805","87.8048780487805","87.8048780487805","4.878048780487805","4.878048780487805","4.878048780487805"
"335","","","","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244","12.195121951219512","12.195121951219512","12.195121951219512"
"340","","","","82.92682926829268","82.92682926829268","82.92682926829268","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"345","","","","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","85.36585365853658","17.073170731707318","17.073170731707318","17.073170731707318"
"350","","","","87.8048780487805","87.8048780487805","87.8048780487805","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"355","","","","90.2439024390244","90.2439024390244","90.2439024390244","97.5609756097561","97.5609756097561","97.5609756097561","17.073170731707318","17.073170731707318","17.073170731707318"
"360","","","","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
"365","","","","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","21.951219512195124","21.951219512195124","21.951219512195124"
"370","","","","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"375","","","","87.8048780487805","87.8048780487805","87.8048780487805","90.2439024390244","90.2439024390244","90.2439024390244","0","0","0"
"380","","","","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"385","","","","87.8048780487805","87.8048780487805","87.8048780487805","85.36585365853658","85.36585365853658","85.36585365853658","21.951219512195124","21.951219512195124","21.951219512195124"
"390","","","","87.8048780487805","87.8048780487805","87.8048780487805","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"395","","","","92.6829268292683","92.6829268292683","92.6829268292683","87.8048780487805","87.8048780487805","87.8048780487805","12.195121951219512","12.195121951219512","12.195121951219512"
"400","","","","85.36585365853658","85.36585365853658","85.36585365853658","92.6829268292683","92.6829268292683","92.6829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"405","","","","97.5609756097561","97.5609756097561","97.5609756097561","90.2439024390244","90.2439024390244","90.2439024390244","31.70731707317073","31.70731707317073","31.70731707317073"
"410","","","","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","90.2439024390244","21.951219512195124","21.951219512195124","21.951219512195124"
"415","","","","92.6829268292683","92.6829268292683","92.6829268292683","80.48780487804878","80.48780487804878","80.48780487804878","17.073170731707318","17.073170731707318","17.073170731707318"
"420","","","","97.5609756097561","97.5609756097561","97.5609756097561","95.1219512195122","95.1219512195122","95.1219512195122","17.073170731707318","17.073170731707318","17.073170731707318"
"425","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","26.829268292682926","26.829268292682926","26.829268292682926"
"430","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","26.829268292682926","26.829268292682926","26.829268292682926"
"435","","","","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"440","","","","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","17.073170731707318","17.073170731707318","17.073170731707318"
"445","","","","95.1219512195122","95.1219512195122","95.1219512195122","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
"450","","","","90.2439024390244","90.2439024390244","90.2439024390244","95.1219512195122","95.1219512195122","95.1219512195122","19.51219512195122","19.51219512195122","19.51219512195122"
"455","","","","95.1219512195122","95.1219512195122","95.1219512195122","95.1219512195122","95.1219512195122","95.1219512195122","12.195121951219512","12.195121951219512","12.195121951219512"
"460","","","","95.1219512195122","95.1219512195122","95.1219512195122","92.6829268292683","92.6829268292683","92.6829268292683","7.317073170731708","7.317073170731708","7.317073170731708"
"465","","","","90.2439024390244","90.2439024390244","90.2439024390244","95.1219512195122","95.1219512195122","95.1219512195122","14.634146341463415","14.634146341463415","14.634146341463415"
"470","","","","85.36585365853658","85.36585365853658","85.36585365853658","90.2439024390244","90.2439024390244","90.2439024390244","7.317073170731708","7.317073170731708","7.317073170731708"
"475","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"480","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"485","","","","92.6829268292683","92.6829268292683","92.6829268292683","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"490","","","","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","21.951219512195124","21.951219512195124","21.951219512195124"
"495","","","","90.2439024390244","90.2439024390244","90.2439024390244","92.6829268292683","92.6829268292683","92.6829268292683","24.390243902439025","24.390243902439025","24.390243902439025"
"500","","","","92.6829268292683","92.6829268292683","92.6829268292683","97.5609756097561","97.5609756097561","97.5609756097561","4.878048780487805","4.878048780487805","4.878048780487805"
"505","","","","82.92682926829268","82.92682926829268","82.92682926829268","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"510","","","","90.2439024390244","90.2439024390244","90.2439024390244","87.8048780487805","87.8048780487805","87.8048780487805","17.073170731707318","17.073170731707318","17.073170731707318"
"515","","","","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"520","","","","95.1219512195122","95.1219512195122","95.1219512195122","92.6829268292683","92.6829268292683","92.6829268292683","4.878048780487805","4.878048780487805","4.878048780487805"
"525","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","7.317073170731708","7.317073170731708","7.317073170731708"
"530","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","12.195121951219512","12.195121951219512","12.195121951219512"
"535","","","","","","","78.04878048780488","78.04878048780488","78.04878048780488","14.634146341463415","14.634146341463415","14.634146341463415"
"540","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"545","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","24.390243902439025","24.390243902439025","24.390243902439025"
"550","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
"555","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","9.75609756097561","9.75609756097561","9.75609756097561"
"560","","","","","","","97.5609756097561","97.5609756097561","97.5609756097561","12.195121951219512","12.195121951219512","12.195121951219512"
"565","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","21.951219512195124","21.951219512195124","21.951219512195124"
"570","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","21.951219512195124","21.951219512195124","21.951219512195124"
"575","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","17.073170731707318","17.073170731707318","17.073170731707318"
"580","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","26.829268292682926","26.829268292682926","26.829268292682926"
"585","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","24.390243902439025","24.390243902439025","24.390243902439025"
"590","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","7.317073170731708","7.317073170731708","7.317073170731708"
"595","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","26.829268292682926","26.829268292682926","26.829268292682926"
"600","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","12.195121951219512","12.195121951219512","12.195121951219512"
"605","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"610","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","9.75609756097561","9.75609756097561","9.75609756097561"
"615","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","19.51219512195122","19.51219512195122","19.51219512195122"
"620","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","21.951219512195124","21.951219512195124","21.951219512195124"
"625","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","21.951219512195124","21.951219512195124","21.951219512195124"
"630","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","21.951219512195124","21.951219512195124","21.951219512195124"
"635","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"640","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"645","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"650","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
"655","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"660","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","4.878048780487805","4.878048780487805","4.878048780487805"
"665","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"670","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","9.75609756097561","9.75609756097561","9.75609756097561"
"675","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","19.51219512195122","19.51219512195122","19.51219512195122"
"680","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","26.829268292682926","26.829268292682926","26.829268292682926"
"685","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"690","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","21.951219512195124","21.951219512195124","21.951219512195124"
"695","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","12.195121951219512","12.195121951219512","12.195121951219512"
"700","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"705","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","19.51219512195122","19.51219512195122","19.51219512195122"
"710","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","9.75609756097561","9.75609756097561","9.75609756097561"
"715","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","9.75609756097561","9.75609756097561","9.75609756097561"
"720","","","","","","","80.48780487804878","80.48780487804878","80.48780487804878","17.073170731707318","17.073170731707318","17.073170731707318"
"725","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","19.51219512195122","19.51219512195122","19.51219512195122"
"730","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","17.073170731707318","17.073170731707318","17.073170731707318"
"735","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","14.634146341463415","14.634146341463415","14.634146341463415"
"740","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","14.634146341463415","14.634146341463415","14.634146341463415"
"745","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","14.634146341463415","14.634146341463415","14.634146341463415"
"750","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","17.073170731707318","17.073170731707318","17.073170731707318"
"755","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","17.073170731707318","17.073170731707318","17.073170731707318"
"760","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","31.70731707317073","31.70731707317073","31.70731707317073"
"765","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","24.390243902439025","24.390243902439025","24.390243902439025"
"770","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"775","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","12.195121951219512","12.195121951219512","12.195121951219512"
"780","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","14.634146341463415","14.634146341463415","14.634146341463415"
"785","","","","","","","95.1219512195122","95.1219512195122","95.1219512195122","12.195121951219512","12.195121951219512","12.195121951219512"
"790","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","7.317073170731708","7.317073170731708","7.317073170731708"
"795","","","","","","","82.92682926829268","82.92682926829268","82.92682926829268","12.195121951219512","12.195121951219512","12.195121951219512"
"800","","","","","","","97.5609756097561","97.5609756097561","97.5609756097561","12.195121951219512","12.195121951219512","12.195121951219512"
"805","","","","","","","85.36585365853658","85.36585365853658","85.36585365853658","17.073170731707318","17.073170731707318","17.073170731707318"
"810","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","21.951219512195124","21.951219512195124","21.951219512195124"
"815","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"820","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","19.51219512195122","19.51219512195122","19.51219512195122"
"825","","","","","","","87.8048780487805","87.8048780487805","87.8048780487805","12.195121951219512","12.195121951219512","12.195121951219512"
"830","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","17.073170731707318","17.073170731707318","17.073170731707318"
"835","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"840","","","","","","","92.6829268292683","92.6829268292683","92.6829268292683","9.75609756097561","9.75609756097561","9.75609756097561"
"845","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","14.634146341463415","14.634146341463415","14.634146341463415"
"850","","","","","","","90.2439024390244","90.2439024390244","90.2439024390244","31.70731707317073","31.70731707317073","31.70731707317073"